RK,TEAM,GP,AB,R,H,2B,3B,HR,TB,RBI,AVG,OBP,SLG,OPS
1,Boston,81,2787,468,785,209,21,102,1342,440,0.282,0.348,0.482,0.829
2,NY Yankees,81,2691,453,701,124,9,144,1275,440,0.26,0.345,0.474,0.819
3,Colorado,81,2735,445,786,166,33,119,1375,425,0.287,0.35,0.503,0.852
4,Cleveland,81,2726,443,729,146,9,107,1214,426,0.267,0.344,0.445,0.789
5,Texas,81,2699,432,691,138,18,106,1183,412,0.256,0.339,0.438,0.778
6,Washington,81,2736,409,725,159,11,96,1194,389,0.265,0.346,0.436,0.783
7,Minnesota,81,2690,397,702,165,14,86,1153,380,0.261,0.332,0.429,0.76
8,Atlanta,81,2708,391,691,146,12,78,1095,367,0.255,0.326,0.404,0.73
9,Chicago Cubs,82,2683,385,702,134,20,79,1113,369,0.262,0.338,0.415,0.753
10,Cincinnati,81,2742,385,704,132,15,98,1160,370,0.257,0.337,0.423,0.76
11,Milwaukee,81,2650,384,654,120,12,115,1143,360,0.247,0.322,0.431,0.753
12,Houston,81,2620,373,649,122,4,92,1055,355,0.248,0.328,0.403,0.73
13,Tampa Bay,81,2637,371,686,125,25,69,1068,336,0.26,0.341,0.405,0.746
14,Philadelphia,81,2653,370,627,120,16,104,1091,355,0.236,0.315,0.411,0.726
15,Oakland,81,2700,369,652,176,6,91,1113,347,0.241,0.32,0.412,0.732
16,LA Dodgers,82,2682,366,649,140,8,119,1162,345,0.242,0.321,0.433,0.754
17,Toronto,81,2707,361,672,176,9,115,1211,348,0.248,0.313,0.447,0.761
18,Arizona,81,2700,359,654,112,34,80,1074,332,0.242,0.321,0.398,0.719
19,LA Angels,81,2646,355,627,122,8,114,1107,338,0.237,0.313,0.418,0.731
20,St. Louis,81,2673,351,655,109,4,83,1021,331,0.245,0.314,0.382,0.696
21,Baltimore,81,2703,339,667,122,5,100,1099,323,0.247,0.31,0.407,0.717
22,Kansas City,81,2715,333,698,157,18,67,1092,312,0.257,0.321,0.402,0.723
23,Detroit,81,2707,330,673,150,21,64,1057,312,0.249,0.307,0.39,0.698
24,Pittsburgh,80,2625,326,675,142,20,65,1052,313,0.257,0.325,0.401,0.726
25,Chicago Sox,81,2715,321,672,126,20,82,1084,311,0.248,0.307,0.399,0.706
26,San Francisco,81,2700,321,655,133,20,60,1008,303,0.243,0.307,0.373,0.681
27,San Diego,81,2702,313,623,120,18,81,1022,298,0.231,0.303,0.378,0.682
28,Seattle,81,2644,299,642,112,15,84,1036,286,0.243,0.301,0.392,0.693
29,Miami,81,2751,279,653,100,9,53,930,264,0.237,0.303,0.338,0.641
30,NY Mets,81,2632,274,566,106,17,75,931,270,0.215,0.292,0.354,0.646
LEAGUE AVERAGES,,GP,AB,R,H,2B,3B,HR,TB,RBI,AVG,OBP,SLG,OPS
American League,,81,2692,376,683,145,13,95,1139,358,0.254,0.325,0.423,0.747
National League,,81,2691,357,668,129,17,87,1091,339,0.248,0.321,0.405,0.727
Major League Baseball,,81,2692,367,676,137,15,91,1115,349,0.251,0.323,0.414,0.737
