Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,,,,,,,,,,,,,,,,,,,
ARI,2242695,27688,29.2,29.6,105,104,0,3,11,"$134,850,600 ",3:10,45,26,57%,Lovullo,,,,,,,,,,,,,,,,,,,
ATL,2555781,31553,27.4,27.7,101,101,0,4,13,"$115,848,667 ",3:04,45,18,40%,Snitker,,,,,,,,,,,,,,,,,,,
BAL,1564192,19311,28.4,27.1,98,100,0,1,11,"$141,555,833 ",3:01,27,15,55%,Showalter,,,,,,,,,,,,,,,,,,,
BOS,2895575,35748,27.7,28.9,105,103,0,5,16,"$222,205,000 ",3:13,43,22,51%,Cora,,,,,,,,,,,,,,,,,,,
CHC,3181089,38794,27.2,30.2,104,103,0,3,14,"$205,373,881 ",3:09,43,27,62%,Maddon,,,,,,,,,,,,,,,,,,,
CHW,1608817,19862,26.5,27.6,99,100,0,1,6,"$75,092,000 ",3:08,40,20,50%,Renteria,,,,,,,,,,,,,,,,,,,
CIN,1629356,20116,27.2,27.1,103,103,0,3,8,"$94,587,500 ",3:03,38,14,36%,Price and Riggleman,,,,,,,,,,,,,,,,,,,
CLE,1926701,23786,29.4,29.4,103,101,0,6,15,"$143,375,233 ",3:03,37,16,43%,Francona,,,,,,,,,,,,,,,,,,,
COL,3015880,37233,28.7,27.9,119,118,0,3,9,"$136,658,500 ",3:04,46,24,52%,Black,,,,,,,,,,,,,,,,,,,
DET,1856970,22926,27.9,28.6,102,104,0,1,9,"$111,531,000 ",3:00,32,19,59%,Gardenhire,,,,,,,,,,,,,,,,,,,
HOU,2980549,36797,28.1,30,97,95,0,6,14,"$172,781,200 ",3:04,34,14,41%,Hinch,,,,,,,,,,,,,,,,,,,
KCR,1665107,20557,28.6,27.6,100,101,0,1,6,"$95,199,167 ",2:57,41,31,75%,Yost,,,,,,,,,,,,,,,,,,,
LAA,3020216,37287,29.5,27.5,98,98,0,1,7,"$166,849,666 ",3:09,42,23,54%,Scioscia,,,,,,,,,,,,,,,,,,,
LAD,3857500,47043,28.1,29.2,97,95,0,3,18,"$164,703,429 ",3:13,39,18,46%,Roberts,,,,,,,,,,,,,,,,,,,
MIA,811104,10014,27.5,27.6,93,94,0,1,4,"$86,515,143 ",3:02,41,22,53%,Mattingly,,,,,,,,,,,,,,,,,,,
MIL,2850875,35196,28.9,28.8,102,102,0,5,14,"$109,295,700 ",3:07,34,7,20%,Counsell,,,,,,,,,,,,,,,,,,,
MIN,1959197,24188,28.2,28.5,101,100,0,1,13,"$110,275,000 ",3:10,45,21,46%,Molitor,,,,,,,,,,,,,,,,,,,
NYM,2224995,27469,28.4,28,92,93,0,1,17,"$161,403,844 ",3:01,29,15,51%,Callaway,,,,,,,,,,,,,,,,,,,
NYY,3482855,42998,27.2,28.8,99,97,0,4,16,"$160,743,032 ",3:11,35,26,74%,Boone,,,,,,,,,,,,,,,,,,,
OAK,1573616,19427,28,29.2,97,97,0,2,10,"$69,883,333 ",3:05,42,21,50%,Melvin,,,,,,,,,,,,,,,,,,,
PHI,2158124,26644,26.7,26.8,102,103,0,1,8,"$93,874,333 ",3:10,44,27,61%,Kapler,,,,,,,,,,,,,,,,,,,
PIT,1465316,18316,27.8,26.5,98,99,0,1,8,"$88,141,000 ",3:04,48,23,47%,Hurdle,,,,,,,,,,,,,,,,,,,
SDP,2168536,26772,26.9,27.7,93,95,0,1,6,"$93,821,067 ",3:00,44,19,43%,Green,,,,,,,,,,,,,,,,,,,
SEA,2299489,28389,29.8,29,95,95,0,4,13,"$157,090,065 ",2:58,37,13,35%,Servais,,,,,,,,,,,,,,,,,,,
SFG,3156185,38965,29.8,28.6,93,94,0,2,14,"$202,060,277 ",3:01,31,23,74%,Bochy,,,,,,,,,,,,,,,,,,,
STL,3403587,42020,28.1,26.7,96,95,0,2,12,"$157,713,667 ",3:10,47,18,38%,Matheny and Shildt,,,,,,,,,,,,,,,,,,,
TBR,1154973,14259,27.1,27.1,97,97,0,2,9,"$46,011,667 ",3:01,54,26,48%,Cash,,,,,,,,,,,,,,,,,,,
TEX,2107107,26014,27.4,30.4,110,110,0,1,9,"$106,099,628 ",3:04,42,17,40%,Banister and Wakamatsu,,,,,,,,,,,,,,,,,,,
TOR,2325281,28707,29,29.3,98,99,0,1,11,"$151,670,772 ",2:59,39,18,46%,Gibbons,,,,,,,,,,,,,,,,,,,
WSN,2529604,31230,27.5,30.2,105,104,0,2,14,"$188,886,699 ",3:07,40,21,52%,Martinez,,,,,,,,,,,,,,,,,,,
