Date,Open,High,Low,Close,Adj Close,Volume
2014-04-07,75.431427,75.842857,74.555717,74.781425,67.900345,72462600
2014-04-08,75.027145,75.160004,74.099998,74.777145,67.896446,60972100
2014-04-09,74.662857,75.784286,74.574287,75.760002,68.788864,51542400
2014-04-10,75.811432,76.034286,74.738571,74.782860,67.901665,59913000
2014-04-11,74.142860,74.690002,73.877144,74.230003,67.399635,67929400
2014-04-14,74.557144,74.594284,73.887146,74.525711,67.668137,51418500
2014-04-15,74.324287,74.519997,73.047142,73.994286,67.185623,66622500
2014-04-16,74.007141,74.441429,73.448570,74.144287,67.321823,53691400
2014-04-17,74.285713,75.394287,74.171425,74.991432,68.091019,71083600
2014-04-21,75.048569,76.019997,74.851425,75.881432,68.899124,45637200
2014-04-22,75.472855,75.975716,75.214287,75.957146,68.967880,50640800
2014-04-23,75.580002,75.875717,74.921425,74.964287,68.066368,98735000
2014-04-24,81.172859,81.428574,80.104286,81.110001,73.646561,189977900
2014-04-25,80.647141,81.712860,80.565712,81.705711,74.187462,97568800
2014-04-28,81.828575,85.107140,81.792854,84.870003,77.060608,167371400
2014-04-29,84.820000,85.139999,84.215714,84.618568,76.832321,84344400
2014-04-30,84.662857,85.632858,84.257141,84.298569,76.541756,114160200
2014-05-01,84.571426,84.971428,83.765717,84.497147,76.722069,61012000
2014-05-02,84.620003,84.885712,84.244286,84.654289,76.864746,47878600
2014-05-05,84.305717,85.857140,84.285713,85.851425,77.951714,71766800
2014-05-06,85.971428,86.344284,84.915718,84.915718,77.102119,93641100
2014-05-07,85.035713,85.327141,83.961426,84.618568,76.832321,70716100
2014-05-08,84.035713,84.915718,83.771431,83.998573,76.695351,57574300
2014-05-09,83.505714,83.750000,82.904289,83.648575,76.375778,72899400
2014-05-12,83.927139,84.808571,83.914284,84.690002,77.326660,53302200
2014-05-13,84.571426,84.934288,84.385712,84.822861,77.447975,39934300
2014-05-14,84.632858,85.342857,84.534286,84.838570,77.462318,41601000
2014-05-15,84.957146,85.228569,84.005714,84.117142,76.803604,57711500
2014-05-16,84.089996,85.361427,83.628571,85.358574,77.937103,69064100
2014-05-19,85.407143,86.761429,85.332855,86.370003,78.860596,79438800
2014-05-20,86.358574,86.628571,85.818573,86.387146,78.876244,58709000
2014-05-21,86.261429,86.671425,86.008568,86.615715,79.084953,49214900
2014-05-22,86.657143,87.121429,86.300003,86.752853,79.210167,50190000
2014-05-23,86.750000,87.818573,86.638573,87.732857,80.104965,58052400
2014-05-27,87.982857,89.408569,87.947144,89.375717,81.604980,87216500
2014-05-28,89.431427,89.975716,89.111427,89.144287,81.393684,78870400
2014-05-29,89.692856,90.981430,89.681427,90.768570,82.876732,94118500
2014-05-30,91.139999,92.024284,89.842857,90.428574,82.566299,141005200
2014-06-02,90.565712,90.690002,88.928574,89.807144,81.998901,92337700
2014-06-03,89.779999,91.248573,89.750000,91.077141,83.158447,73177300
2014-06-04,91.062859,92.555717,90.872856,92.117142,84.108047,83870500
2014-06-05,92.314285,92.767143,91.801430,92.478569,84.438065,75951400
2014-06-06,92.842857,93.037140,92.067146,92.224289,84.205879,87484600
2014-06-09,92.699997,93.879997,91.750000,93.699997,85.553299,75415000
2014-06-10,94.730003,95.050003,93.570000,94.250000,86.055473,62777000
2014-06-11,94.129997,94.760002,93.470001,93.860001,85.699394,45681000
2014-06-12,94.040001,94.120003,91.900002,92.290001,84.265892,54749000
2014-06-13,92.199997,92.440002,90.879997,91.279999,83.343689,54525000
2014-06-16,91.510002,92.750000,91.449997,92.199997,84.183716,35561000
2014-06-17,92.309998,92.699997,91.800003,92.080002,84.074142,29726000
2014-06-18,92.269997,92.290001,91.349998,92.180000,84.165443,33514000
2014-06-19,92.290001,92.300003,91.339996,91.860001,83.873260,35528000
2014-06-20,91.849998,92.550003,90.900002,90.910004,83.005875,100898000
2014-06-23,91.320000,91.620003,90.599998,90.830002,82.932816,43694000
2014-06-24,90.750000,91.739998,90.190002,90.279999,82.430641,39036000
2014-06-25,90.209999,90.699997,89.650002,90.360001,82.503693,36869000
2014-06-26,90.370003,91.050003,89.800003,90.900002,82.996742,32629000
2014-06-27,90.820000,92.000000,90.769997,91.980003,83.982841,64029000
2014-06-30,92.099998,93.730003,92.089996,92.930000,84.850220,49482300
2014-07-01,93.519997,94.070000,93.129997,93.519997,85.388931,38223000
2014-07-02,93.870003,94.059998,93.089996,93.480003,85.352425,28465000
2014-07-03,93.669998,94.099998,93.199997,94.029999,85.854591,22891800
2014-07-07,94.139999,95.989998,94.099998,95.970001,87.625931,56468000
2014-07-08,96.269997,96.800003,93.919998,95.349998,87.059830,65222000
2014-07-09,95.440002,95.949997,94.760002,95.389999,87.096336,36436000
2014-07-10,93.760002,95.550003,93.519997,95.040001,86.776787,39686000
2014-07-11,95.360001,95.889999,94.860001,95.220001,86.941147,34018000
2014-07-14,95.860001,96.889999,95.650002,96.449997,88.064171,42810000
2014-07-15,96.800003,96.849998,95.029999,95.320000,87.032448,45477900
2014-07-16,96.970001,97.099998,94.739998,94.779999,86.539406,53396300
2014-07-17,95.029999,95.279999,92.570000,93.089996,84.996323,57298000
2014-07-18,93.620003,94.739998,93.019997,94.430000,86.219818,49988000
2014-07-21,94.989998,95.000000,93.720001,93.940002,85.772446,39079000
2014-07-22,94.680000,94.889999,94.120003,94.720001,86.484596,55197000
2014-07-23,95.419998,97.879997,95.169998,97.190002,88.739861,92918000
2014-07-24,97.040001,97.320000,96.419998,97.029999,88.593758,45729000
2014-07-25,96.849998,97.839996,96.639999,97.669998,89.178123,43469000
2014-07-28,97.820000,99.239998,97.550003,99.019997,90.410744,55318000
2014-07-29,99.330002,99.440002,98.250000,98.379997,89.826393,43143000
2014-07-30,98.440002,98.699997,97.669998,98.150002,89.616379,33010000
2014-07-31,97.160004,97.449997,95.330002,95.599998,87.288086,56843000
2014-08-01,94.900002,96.620003,94.809998,96.129997,87.772003,48511000
2014-08-04,96.370003,96.580002,95.169998,95.589996,87.278961,39958000
2014-08-05,95.360001,95.680000,94.360001,95.120003,86.849831,55933000
2014-08-06,94.750000,95.480003,94.709999,94.959999,86.703743,38558000
2014-08-07,94.930000,95.949997,94.099998,94.480003,86.694572,46711000
2014-08-08,94.260002,94.820000,93.279999,94.739998,86.933136,41865000
2014-08-11,95.269997,96.080002,94.839996,95.989998,88.080132,36585000
2014-08-12,96.040001,96.879997,95.610001,95.970001,88.061790,33795000
2014-08-13,96.150002,97.239998,96.040001,97.239998,89.227127,31916000
2014-08-14,97.330002,97.570000,96.800003,97.500000,89.465721,28116000
2014-08-15,97.900002,98.190002,96.860001,97.980003,89.906174,48951000
2014-08-18,98.489998,99.370003,97.980003,99.160004,90.988930,47572000
2014-08-19,99.410004,100.680000,99.320000,100.529999,92.246033,69399000
2014-08-20,100.440002,101.089996,99.949997,100.570000,92.282745,52699000
2014-08-21,100.570000,100.940002,100.110001,100.580002,92.291901,33478000
2014-08-22,100.290001,101.470001,100.190002,101.320000,92.970932,44184000
2014-08-25,101.790001,102.169998,101.279999,101.540001,93.172791,40270000
2014-08-26,101.419998,101.500000,100.860001,100.889999,92.576363,33152000
2014-08-27,101.019997,102.570000,100.699997,102.129997,93.714172,52369000
2014-08-28,101.589996,102.779999,101.559998,102.250000,93.824310,68460000
2014-08-29,102.860001,102.900002,102.199997,102.500000,94.053680,44595000
2014-09-02,103.059998,103.739998,102.720001,103.300003,94.787781,53564000
2014-09-03,103.099998,103.199997,98.580002,98.940002,90.787048,125421000
2014-09-04,98.849998,100.089996,97.790001,98.120003,90.034622,85718000
2014-09-05,98.800003,99.389999,98.309998,98.970001,90.814583,58457000
2014-09-08,99.300003,99.309998,98.050003,98.360001,90.254837,46356700
2014-09-09,99.080002,103.080002,96.139999,97.989998,89.915321,189846300
2014-09-10,98.010002,101.110001,97.760002,101.000000,92.677299,100869600
2014-09-11,100.410004,101.440002,99.620003,101.430000,93.071877,62353100
2014-09-12,101.209999,102.190002,101.080002,101.660004,93.282913,62626100
2014-09-15,102.809998,103.050003,101.440002,101.629997,93.255379,61316500
2014-09-16,99.800003,101.260002,98.889999,100.860001,92.548836,66908100
2014-09-17,101.269997,101.800003,100.589996,101.580002,93.209496,60926500
2014-09-18,101.930000,102.349998,101.559998,101.790001,93.402184,37299400
2014-09-19,102.290001,102.349998,100.500000,100.959999,92.640594,70902400
2014-09-22,101.800003,102.139999,100.580002,101.059998,92.732346,52788400
2014-09-23,100.599998,102.940002,100.540001,102.639999,94.182167,63402200
2014-09-24,102.160004,102.849998,101.199997,101.750000,93.365494,60171800
2014-09-25,100.510002,100.709999,97.720001,97.870003,89.805222,100092000
2014-09-26,98.529999,100.750000,98.400002,100.750000,92.447876,62370500
2014-09-29,98.650002,100.440002,98.629997,100.110001,91.860641,49766300
2014-09-30,100.809998,101.540001,100.529999,100.750000,92.447876,55264100
2014-10-01,100.589996,100.690002,98.699997,99.180000,91.007271,51491300
2014-10-02,99.269997,100.220001,98.040001,99.900002,91.667946,47757800
2014-10-03,99.440002,100.209999,99.040001,99.620003,91.411026,43469600
2014-10-06,99.949997,100.650002,99.419998,99.620003,91.411026,37051200
2014-10-07,99.430000,100.120003,98.730003,98.750000,90.612694,42094200
2014-10-08,98.760002,101.110001,98.309998,100.800003,92.493782,57404700
2014-10-09,101.540001,102.379997,100.610001,101.019997,92.695656,77376500
2014-10-10,100.690002,102.029999,100.300003,100.730003,92.429558,66331600
2014-10-13,101.330002,101.779999,99.809998,99.809998,91.585358,53583400
2014-10-14,100.389999,100.519997,98.570000,98.750000,90.612694,63688600
2014-10-15,97.970001,99.150002,95.180000,97.540001,89.502411,100933600
2014-10-16,95.550003,97.720001,95.410004,96.260002,88.327888,72154500
2014-10-17,97.500000,99.000000,96.809998,97.669998,89.621696,68179700
2014-10-20,98.320000,99.959999,98.220001,99.760002,91.539482,77517300
2014-10-21,103.019997,103.019997,101.269997,102.470001,94.026176,94623900
2014-10-22,102.839996,104.110001,102.599998,102.989998,94.503311,68263100
