Date,Open,High,Low,Close,Adj Close,Volume
2014-04-07,320.989990,324.940002,313.130005,317.760010,317.760010,7077400
2014-04-08,321.880005,328.000000,318.440002,327.070007,327.070007,6577600
2014-04-09,328.470001,332.179993,322.500000,331.809998,331.809998,5056600
2014-04-10,330.600006,331.000000,316.500000,317.109985,317.109985,6126700
2014-04-11,314.000000,316.500000,309.500000,311.730011,311.730011,7287500
2014-04-14,317.670013,320.480011,311.279999,315.910004,315.910004,4293500
2014-04-15,316.700012,318.279999,305.500000,316.079987,316.079987,5398600
2014-04-16,321.170013,324.000000,314.709991,323.679993,323.679993,4284900
2014-04-17,319.760010,328.660004,319.760010,324.910004,324.910004,4299200
2014-04-21,323.970001,331.149994,322.309998,330.869995,330.869995,2999400
2014-04-22,332.000000,337.500000,328.940002,329.320007,329.320007,3711600
2014-04-23,333.059998,333.130005,323.390015,324.579987,324.579987,3604600
2014-04-24,329.670013,337.399994,322.950012,337.149994,337.149994,9293700
2014-04-25,316.250000,316.489990,302.709991,303.829987,303.829987,16180200
2014-04-28,304.000000,304.390015,288.000000,296.579987,296.579987,14479800
2014-04-29,296.440002,301.839996,290.450012,300.380005,300.380005,6509300
2014-04-30,298.100006,304.559998,298.100006,304.130005,304.130005,4088600
2014-05-01,304.130005,310.480011,304.000000,307.890015,307.890015,4328600
2014-05-02,310.420013,313.290009,304.309998,308.010010,308.010010,3995100
2014-05-05,306.369995,310.230011,305.000000,310.049988,310.049988,2519900
2014-05-06,309.529999,309.809998,297.040009,297.380005,297.380005,4682300
2014-05-07,295.559998,296.399994,286.679993,292.709991,292.709991,7015200
2014-05-08,290.820007,295.880005,287.230011,288.320007,288.320007,3848200
2014-05-09,290.570007,293.679993,284.380005,292.239990,292.239990,4063000
2014-05-12,294.299988,303.339996,294.160004,302.859985,302.859985,3729600
2014-05-13,302.600006,305.600006,300.750000,304.640015,304.640015,3509900
2014-05-14,302.500000,304.640015,296.660004,297.619995,297.619995,3323300
